product_id,product_name,category,subcategory,brand,price,currency,stock_quantity,weight_kg,dimensions_cm,color,material,description,launch_date,discontinued,created_timestamp,processed_timestamp,batch_id,source_system,price_segment,stock_status,days_since_launch,lifecycle_stage,dimensions_array,volume_cm3,density_kg_per_cm3
P001,Wireless Bluetooth Headphones,Electronics,Audio,SoundMax,89.99,USD,45,0.30,25x20x8,Black,Plastic,High-quality wireless headphones with noise cancellation,2024-01-15,false,2025-01-16T08:30:15Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Mid-range,Medium Stock,693,Mature,"[""25"",""20"",""8""]",4000,0.000075
P002,Smart Fitness Tracker,Electronics,Wearables,FitTech,79.99,USD,32,0.10,4x2x1,Blue,Silicon,Advanced fitness tracker with heart rate monitoring,2024-02-01,false,2025-01-16T09:15:22Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Mid-range,Medium Stock,676,Mature,"[""4"",""2"",""1""]",8,0.0125
P003,Ergonomic Office Chair,Furniture,Seating,ComfortPro,299.99,USD,18,12.50,60x60x120,Black,Mesh,Professional ergonomic office chair with lumbar support,2024-01-20,false,2025-01-16T10:45:33Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Premium,Medium Stock,688,Mature,"[""60"",""60"",""120""]",432000,0.000028935185185185186
P004,Stainless Steel Water Bottle,Home & Kitchen,Hydration,HydroMax,24.99,USD,67,0.40,20x7x7,Silver,Stainless Steel,"Insulated stainless steel water bottle, keeps drinks cold for 24 hours",2024-03-10,false,2025-01-16T11:20:44Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Budget,High Stock,638,Mature,"[""20"",""7"",""7""]",980,0.00040816326530612246
P005,Wireless Charging Pad,Electronics,Accessories,ChargeTech,39.99,USD,89,0.20,10x10x1,White,Plastic,Fast wireless charging pad compatible with all Qi-enabled devices,2024-04-15,false,2025-01-16T12:10:55Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Budget,High Stock,602,Mature,"[""10"",""10"",""1""]",100,0.002
P006,Bluetooth Speaker,Electronics,Audio,SoundMax,129.99,USD,23,0.80,15x10x5,Red,Plastic,Portable Bluetooth speaker with 20W output and 12-hour battery,2024-05-01,false,2025-01-16T13:25:16Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Mid-range,Medium Stock,586,Mature,"[""15"",""10"",""5""]",750,0.0010666666666666667
P007,LED Desk Lamp,Furniture,Lighting,BrightTech,49.99,USD,56,1.20,35x25x15,White,Metal,Adjustable LED desk lamp with USB charging port,2024-06-10,false,2025-01-16T14:40:27Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Budget,High Stock,546,Mature,"[""35"",""25"",""15""]",13125,0.00009142857142857142
P008,Smart Doorbell,Electronics,Security,SafeHome,199.99,USD,12,0.60,12x4x4,Black,Plastic,WiFi-enabled smart doorbell with HD video and two-way audio,2024-07-20,false,2025-01-16T15:55:38Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Premium,Medium Stock,506,Mature,"[""12"",""4"",""4""]",192,0.0031249999999999997
P009,Mechanical Gaming Keyboard,Electronics,Gaming,GameMax,149.99,USD,34,1.10,45x15x3,RGB,Plastic,RGB mechanical gaming keyboard with customizable backlighting,2024-08-05,false,2025-01-16T16:30:49Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Mid-range,Medium Stock,490,Mature,"[""45"",""15"",""3""]",2025,0.0005432098765432099
P010,Portable Power Bank,Electronics,Accessories,PowerMax,29.99,USD,78,0.30,10x7x2,Black,Plastic,10000mAh portable power bank with fast charging capability,2024-09-15,false,2025-01-16T17:45:50Z,2025-12-08T11:45:31.248039Z,20251208_114511,ecommerce_products,Budget,High Stock,449,Mature,"[""10"",""7"",""2""]",140,0.002142857142857143
