product_id,product_name,category,subcategory,brand,price,product_currency,product_stock_quantity,product_weight_kg,dimensions_cm,color,material,description,launch_date,discontinued,product_created_timestamp,product_price_segment,product_stock_status,days_since_launch,product_lifecycle_stage,volume_cm3,density_kg_per_cm3,total_orders,total_revenue,unique_customers,performance_category,product_lifecycle,effective_date,expiry_date,is_current
PROD011,Wireless Mouse,Electronics,Computer,ClickTech,89.99,USD,200,0.20,12x6x4,Black,Plastic,Ergonomic wireless mouse with precision tracking,2024-11-10,false,2025-01-15T18:20:01Z,Mid-range,High Stock,393,Mature,288,0.0006944444444444445,1,89.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD003,Organic Cotton T-Shirt,Clothing,Apparel,EcoWear,89.99,USD,500,0.20,30x25x2,Blue,Cotton,Comfortable organic cotton t-shirt,2024-03-10,false,2025-01-15T10:45:33Z,Mid-range,High Stock,638,Mature,1500,0.00013333333333333334,1,89.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD018,Desk Organizer,Home & Garden,Office,OrganizePro,99.99,USD,150,0.60,30x20x15,Gray,Plastic,Multi-compartment desk organizer,2025-01-06,false,2025-01-15T01:15:18Z,Mid-range,High Stock,336,Growth,9000,0.00006666666666666667,1,99.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD009,Smartphone Case,Electronics,Accessories,PhoneGuard,179.99,USD,350,0.10,16x8x2,Clear,Silicone,Protective smartphone case with wireless charging,2024-09-15,false,2025-01-15T16:30:49Z,Premium,High Stock,449,Mature,256,0.000390625,1,179.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD016,Protein Shaker Bottle,Sports & Fitness,Nutrition,FitTech,119.99,USD,200,0.40,25x8x8,Blue,Plastic,BPA-free protein shaker bottle with mixer ball,2025-01-04,false,2025-01-15T23:45:56Z,Mid-range,High Stock,338,Growth,1600,0.00025,1,119.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD020,LED Strip Lights,Home & Garden,Lighting,BrightTech,209.99,USD,80,0.80,500x2x1,RGB,Plastic,Smart LED strip lights with app control,2025-01-08,false,2025-01-15T03:45:40Z,Premium,High Stock,334,Growth,1000,0.0008,1,209.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD014,Phone Stand,Electronics,Accessories,PhoneGuard,79.99,USD,300,0.30,15x10x8,Silver,Aluminum,Adjustable phone stand for desk or table,2025-01-02,false,2025-01-15T21:15:34Z,Mid-range,High Stock,340,Growth,1200,0.00025,1,79.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD015,Air Purifier,Home & Garden,Appliances,CleanAir,249.99,USD,60,3.50,30x25x20,White,Plastic,HEPA air purifier with smart controls,2025-01-03,false,2025-01-15T22:30:45Z,Premium,High Stock,339,Growth,15000,0.00023333333333333333,1,249.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD012,Essential Oil Diffuser,Home & Garden,Wellness,AromaLife,199.99,USD,80,0.80,20x15x15,White,Ceramic,Ultrasonic essential oil diffuser with LED lights,2024-12-05,false,2025-01-15T19:35:12Z,Premium,High Stock,368,Mature,4500,0.00017777777777777779,1,199.99,1,Low Performer,Stagnant,2025-12-08,null,true
PROD006,Wireless Charging Pad,Electronics,Accessories,PowerUp,159.99,USD,250,0.40,15x15x2,Black,Plastic,Fast wireless charging pad for smartphones,2024-06-18,false,2025-01-15T13:25:16Z,Premium,High Stock,538,Mature,450,0.0008888888888888889,1,159.99,1,Low Performer,Stagnant,2025-12-08,null,true
